Year;Month;day;hour;Flow (m³/s);Temp (C);ET (mm/day);Prec (mm/h)
93;9;1;0;0.183;6.795;0.155;0
93;9;1;1;0.183;14.35;1.958;0
93;9;1;2;0.18625;13.29;1.93;0
93;9;1;3;0.21275;11.4;0.411;0
93;9;1;4;0.24175;13.7;1.517;0
93;9;1;5;0.25;12.59;1.141;0
93;9;1;6;0.24025;11.21;1.148;0
93;9;1;7;0.2205;12.29;1.824;0
93;9;1;8;0.20375;12.22;1.316;0
93;9;1;9;0.19325;12.84;2.061;0
93;9;1;10;0.185;5.508;1.958;0
93;9;1;11;0.17925;6.395;1.958;0
93;9;1;12;0.17175;6.095;1.958;0
93;9;1;13;0.16925;6.575;1.93;0
93;9;1;14;0.16425;7.19;1.93;0
93;9;1;15;0.162;8.44;1.93;0
93;9;1;16;0.159;9.19;1.93;0
93;9;1;17;0.159;9.84;1.93;0
93;9;1;18;0.159;11.26;1.93;0
93;9;1;19;0.159;13.29;1.93;0
93;9;1;20;0.16225;13.02;1.93;0
93;9;1;21;0.1875;4.971;1.93;0
93;9;1;22;0.20075;4.539;1.93;0
93;9;1;23;0.19575;4.559;0.411;0
93;9;2;0;0.18825;13.84;2.206;0
93;9;2;1;0.18175;15.82;0.36;0
93;9;2;2;0.178;15.48;1.846;0
93;9;2;3;0.1755;13.79;1.286;0
93;9;2;4;0.173;11.45;1.861;0
93;9;2;5;0.173;11.63;1.261;0
93;9;2;6;0.173;11.41;1.728;0
93;9;2;7;0.17425;9.49;0.975;0
93;9;2;8;0.178;10.2;0.961;0
93;9;2;9;0.178;8.51;1.096;0
93;9;2;10;0.17925;8.94;0.36;0
93;9;2;11;0.183;11.29;0.36;0
93;9;2;12;0.183;10.54;0.36;0
93;9;2;13;0.183;8.83;1.846;0
93;9;2;14;0.183;7.58;1.846;0
93;9;2;15;0.183;8.8;1.846;0
93;9;2;16;0.18175;11.98;1.846;0
93;9;2;17;0.17925;11.88;1.846;0
93;9;2;18;0.178;13.41;1.846;0
93;9;2;19;0.178;15.48;1.846;0
93;9;2;20;0.178;6.203;1.846;0
93;9;2;21;0.178;8.59;1.846;0
93;9;2;22;0.178;8.07;1.846;0
93;9;2;23;0.183;8.03;1.286;0
93;9;3;0;0.183;7.15;1.02;0
93;9;3;1;0.183;13.81;-0.187;0
93;9;3;2;0.178;13.97;0.187;0
93;9;3;3;0.17425;13.77;2.066;0
93;9;3;4;0.16925;11.37;2.066;0
93;9;3;5;0.168;11.08;2.066;0
93;9;3;6;0.168;10.58;2.066;0
93;9;3;7;0.1705;12.6;2.066;0
93;9;3;8;0.1755;15.8;2.066;0
93;9;3;9;0.18175;15.94;2.066;0
93;9;3;10;0.183;17.25;0.187;0
93;9;3;11;0.17925;18.98;0.187;0
93;9;3;12;0.178;18.5;0.187;0
93;9;3;13;0.1755;19.01;0.187;0
93;9;3;14;0.173;20.62;0.187;0
93;9;3;15;0.17175;18.48;0.187;0
93;9;3;16;0.1705;18.2;0.187;0
93;9;3;17;0.16925;17.57;0.187;0
93;9;3;18;0.173;16.07;0.187;0
93;9;3;19;0.173;15.87;0.187;0
93;9;3;20;0.173;13.93;0.187;0
93;9;3;21;0.173;12.51;0.187;0
93;9;3;22;0.173;11.33;0.187;0
93;9;3;23;0.173;9.59;2.066;0
93;9;4;0;0.1755;5.57;2.066;0
93;9;4;1;0.173;6.092;2.066;0
93;9;4;2;0.173;5.081;2.066;0
93;9;4;3;0.178;5.619;2.624;0
93;9;4;4;0.178;3.813;2.624;0
93;9;4;5;0.178;2.864;2.624;0
93;9;4;6;0.178;3.234;2.624;0
93;9;4;7;0.178;6.669;2.624;0
93;9;4;8;0.18175;10.98;2.624;0
93;9;4;9;0.18175;12.69;2.624;0
93;9;4;10;0.178;14.36;2.066;0
93;9;4;11;0.178;14.57;2.066;0
93;9;4;12;0.178;16.22;2.066;0
93;9;4;13;0.178;16.39;2.066;0
93;9;4;14;0.178;16.92;2.066;0
93;9;4;15;0.178;17.12;2.066;0
93;9;4;16;0.178;17.36;2.066;0
93;9;4;17;0.178;16.25;2.066;0
93;9;4;18;0.178;14.46;2.066;0
93;9;4;19;0.178;11.46;2.066;0
93;9;4;20;0.178;8.82;2.066;0
93;9;4;21;0.18175;6.42;2.066;0
93;9;4;22;0.183;6.391;2.066;0
93;9;4;23;0.183;5.09;2.624;0
93;9;5;0;0.183;4.898;2.624;0
93;9;5;1;0.183;5.506;2.624;0
93;9;5;2;0.183;3.505;2.624;0
93;9;5;3;0.183;4.548;2.513;0
93;9;5;4;0.183;3.418;2.513;0
93;9;5;5;0.184;2.991;2.513;0
93;9;5;6;0.187;3.004;2.513;0
93;9;5;7;0.187;5.999;2.513;0
93;9;5;8;0.187;10.14;2.513;0
93;9;5;9;0.187;12.35;2.513;0
93;9;5;10;0.187;13.47;2.624;0
93;9;5;11;0.187;14.45;2.624;0
93;9;5;12;0.187;14.65;2.624;0
93;9;5;13;0.186;16.58;2.624;0
93;9;5;14;0.184;16.11;2.624;0
93;9;5;15;0.183;16.73;2.624;0
93;9;5;16;0.183;16.66;2.624;0
93;9;5;17;0.183;15.96;2.624;0
93;9;5;18;0.183;14.16;2.624;0
93;9;5;19;0.183;10.27;2.624;0
93;9;5;20;0.183;8.04;2.624;0
93;9;5;21;0.183;7.28;2.624;0
93;9;5;22;0.187;6.058;2.624;0
93;9;5;23;0.187;5.457;2.513;0
93;9;6;0;0.187;11.19;2.513;0
93;9;6;1;0.187;6.191;2.513;0
93;9;6;2;0.187;5.594;2.513;0
93;9;6;3;0.187;6.283;2.193;0
93;9;6;4;0.187;6.566;2.193;0
93;9;6;5;0.19075;6.465;2.193;0
93;9;6;6;0.192;7.26;2.193;0
93;9;6;7;0.192;8.96;2.193;0
93;9;6;8;0.192;11.38;2.193;0
93;9;6;9;0.192;13.63;2.193;0
93;9;6;10;0.192;16.13;2.513;0
93;9;6;11;0.19075;16.02;2.513;0
93;9;6;12;0.187;17.07;2.513;0
93;9;6;13;0.187;17.68;2.513;0
93;9;6;14;0.184;17.61;2.513;0
93;9;6;15;0.183;18.27;2.513;0
93;9;6;16;0.184;17.6;2.513;0
93;9;6;17;0.187;16.79;2.513;0
93;9;6;18;0.187;15.69;2.513;0
93;9;6;19;0.187;13.8;2.513;0
93;9;6;20;0.187;10.37;2.513;0
93;9;6;21;0.187;10.72;2.513;0
93;9;6;22;0.18825;10.63;2.513;0
93;9;6;23;0.18825;11.29;2.193;0
93;9;7;0;0.19075;13.44;2.193;0
93;9;7;1;0.192;11.26;2.193;0
